#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	wHAXPI032581-18	wHAXPI032582-19	wHAXPI032583-21	wHAXPI032584-22	wHAXPI032585-23	wHAXPI032586-25	wHAXPI032587-26	wHAXPI032588-27	wHAXPI032589-28	wHAXPI032590-29	wHAXPI032591-31	wHAXPI032592-32	wHAXPI032593-34	wHAXPI032594-36	wHAXPI032595-39	wHAXPI032596-40	wHAXPI032597-41	wHAXPI032598-42	wHAXPI032599-45	wHAXPI032600-47	wHAXPI032601-50	wHAXPI032602-54	wHAXPI032603-63	wHAXPI032604-74	wHAXPI032605-75	wHAXPI032606-80	wHAXPI032607-89	wHAXPI032608-111	wHAXPI032609-18	wHAXPI032610-19	wHAXPI032611-21	wHAXPI032612-22	wHAXPI032613-23	wHAXPI032614-24	wHAXPI032615-25	wHAXPI032616-26	wHAXPI032617-27	wHAXPI032618-28	wHAXPI032619-29	wHAXPI032620-32	wHAXPI032621-34	wHAXPI032622-36	wHAXPI032659-39	wHAXPI032660-40	wHAXPI032661-41	wHAXPI032662-42	wHAXPI032663-45	wHAXPI032696-31	wHAXPI032697-24	wHAXPI032780-47	wHAXPI032781-50	wHAXPI032782-54	wHAXPI032783-63	wHAXPI032784-74	wHAXPI032785-75	wHAXPI032786-80	wHAXPI032787-89	wHAXPI032788-111	wHAXPI032789-18	wHAXPI032790-19	wHAXPI032791-21	wHAXPI032792-22	wHAXPI032793-23	wHAXPI032794-24	wHAXPI032795-25	wHAXPI032796-26	wHAXPI032797-27	wHAXPI032798-28	wHAXPI032799-29	wHAXPI032800-31	wHAXPI032801-32	wHAXPI032802-34	wHAXPI032803-36	wHAXPI032804-39	wHAXPI032806-41	wHAXPI032807-42	wHAXPI032808-45	wHAXPI032809-47	wHAXPI032810-50	wHAXPI032811-54	wHAXPI032812-63	wHAXPI032813-74	wHAXPI032814-75	wHAXPI032815-80	wHAXPI032816-89	wHAXPI032817-111	wHAXPI033593-26	wHAXPI033594-31	wHAXPI033598-32	wHAXPI033601-28	wHAXPI033605-29	wHAXPI033606-30	wHAXPI033608-27	wHAXPI033632-52	wHAXPI033633-76	wHAXPI033634-77	wHAXPI033635-78	wHAXPI033636-79	wHAXPI033788-13	wHAXPI033789-15	wHAXPI033790-16	wHAXPI033791-18	wHAXPI033792-19	wHAXPI033793-20	wHAXPI033794-21	wHAXPI033795-22	wHAXPI033796-23	wHAXPI033810-24	wHAXPI033811-25	wHAXPI033812-26	wHAXPI033813-27	wHAXPI033814-28	wHAXPI033815-29	wHAXPI033816-30	wHAXPI033817-31	wHAXPI033818-32	wHAXPI033819-34	wHAXPI033820-35	wHAXPI033821-36	wHAXPI033822-39	wHAXPI033823-40	wHAXPI033824-41	wHAXPI033825-42	wHAXPI033826-45	wHAXPI033827-47	wHAXPI033828-50	wHAXPI033829-54	wHAXPI033830-58	wHAXPI033831-59	wHAXPI033832-61	wHAXPI033833-63	wHAXPI034447-36	wHAXPI034448-37	wHAXPI034449-39	wHAXPI034450-40	wHAXPI034451-47	wHAXPI034452-50	wHAXPI034453-52	wHAXPI034454-53	wHAXPI034455-54	wHAXPI034456-57	wHAXPI034457-58	wHAXPI034458-59	wHAXPI034459-60	wHAXPI034460-61	wHAXPI034461-62	wHAXPI034462-63	wHAXPI034463-68	wHAXPI034464-70	wHAXPI034465-71	wHAXPI034466-72	wHAXPI034467-73	wHAXPI034468-74	wHAXPI034918-16	wHAXPI034919-17	wHAXPI034920-8	wHAXPI034921-9	wHAXPI034922-11	wHAXPI034923-12	wHAXPI034924-13	wHAXPI034925-14	wHAXPI034926-15	wHAXPI037144-8	wHAXPI037145-9	wHAXPI037146-11	wHAXPI037147-12	wHAXPI043592-8	wHAXPI043593-9	wHAXPI043594-11	wHAXPI047830-11	wHAXPI048670-90
UNCLASSIFIED	3494672.0	6754349.0	4260914.0	6187478.0	2674039.0	7947679.0	5613767.0	866739.0	3572242.0	244159.0	10392162.0	11607416.0	14181235.0	4870071.0	1148297.0	6856273.0	0.0	12428592.0	6495544.0	5888714.0	10623527.0	3268140.0	6225034.0	19098400.0	6108164.0	8906761.0	13683172.0	3405251.0	21272016.0	8466803.0	14615922.0	19253739.0	4066695.0	2525142.0	21404036.0	7339584.0	13431702.0	2410698.0	12592021.0	5629392.0	7049780.0	15738720.0	11583988.0	5407331.0	10286932.0	0.0	9701108.0	26997169.0	4306153.0	3826156.0	10584560.0	7384584.0	2847858.0	11738843.0	7639064.0	10018935.0	9129500.0	7992806.0	293811.0	14516400.0	2513292.0	19365349.0	9522086.0	16922798.0	7853741.0	10230987.0	11743065.0	0.0	17666272.0	8554683.0	14760829.0	0.0	2838805.0	2980956.0	11820615.0	3527223.0	3754754.0	19299533.0	21026232.0	13448299.0	2110911.0	7758355.0	11659744.0	14747275.0	17279783.0	5605098.0	0.0	9662567.0	811240.0	17527158.0	2734917.0	8381066.0	14702474.0	3113742.0	3497744.0	6423342.0	1597519.0	6279414.0	644061.0	8339881.0	13191635.0	1981574.0	6521580.0	0.0	10120013.0	1993923.0	4450888.0	16169107.0	3184989.0	16363791.0	13635012.0	2365500.0	3070447.0	0.0	8253195.0	3643970.0	4230334.0	0.0	4037248.0	9803675.0	3816358.0	16796499.0	3275811.0	5816752.0	8821629.0	3510180.0	11258277.0	8711523.0	5120397.0	0.0	0.0	7413556.0	2497391.0	4810165.0	0.0	27762891.0	0.0	13760047.0	9906861.0	7159424.0	0.0	11552600.0	4385326.0	7136905.0	4031193.0	7691871.0	0.0	558317.0	0.0	7983958.0	5290474.0	1847561.0	10307133.0	11423113.0	0.0	4293728.0	3740066.0	0.0	10572922.0	18917304.0	0.0	0.0	8123538.0	14037729.0	1826625.0	0.0	7334007.0	2717037.0	1497137.0	24400.0	1965115.0
k__Bacteria	55201537.0	47765462.0	52657193.0	52561280.0	59600789.0	55916608.0	49243118.0	49442596.0	46909477.0	2645156.0	64998310.0	74721423.0	76945152.0	71827168.0	61023354.0	72651300.0	69230938.0	67136636.0	65059604.0	71825178.0	93887115.0	65664272.0	65625007.0	67453420.0	63952545.0	77370843.0	56252311.0	77311220.0	66312010.0	76279373.0	69161281.0	69998082.0	83048718.0	85635190.0	55329698.0	67986420.0	63112174.0	78800423.0	62191735.0	77239076.0	62311138.0	56147374.0	56903375.0	61387663.0	76403342.0	75262313.0	56429397.0	64500276.0	99224478.0	91138762.0	91061043.0	93723805.0	79976305.0	83118229.0	70956870.0	62360660.0	63584076.0	67873999.0	92375596.0	70073042.0	84023088.0	64894961.0	62257445.0	75192773.0	65757815.0	72915482.0	78163219.0	88222554.0	64029023.0	80506354.0	61513606.0	78860711.0	70459141.0	77234655.0	71029669.0	76426096.0	77118790.0	64654234.0	70776979.0	62833850.0	77115752.0	64580421.0	68244652.0	66720532.0	66570408.0	40543829.0	81305415.0	68938888.0	78686925.0	60845683.0	76024477.0	64674427.0	56069648.0	57541149.0	49539508.0	54839617.0	63450953.0	62854040.0	71024171.0	57341582.0	65608936.0	69269631.0	77638441.0	60735820.0	52007489.0	62205826.0	98938959.0	84598517.0	86249658.0	66317078.0	63219588.0	71737863.0	71182449.0	76307860.0	65772215.0	59383192.0	66412565.0	51427967.0	38852504.0	43802621.0	45886370.0	40103879.0	45933505.0	42280140.0	73281714.0	68309074.0	63832629.0	71250402.0	46455200.0	87247057.0	94293179.0	46615871.0	48998667.0	53588738.0	55407482.0	43748247.0	79961359.0	58555037.0	71900357.0	74027566.0	65253275.0	79156183.0	54074113.0	65910600.0	96791446.0	93475794.0	68910167.0	51520968.0	61230862.0	56228522.0	31864248.0	37437434.0	82846929.0	57867990.0	83945376.0	73475913.0	68898167.0	108244225.0	89976244.0	80341357.0	92734697.0	88900925.0	58777577.0	58748372.0	73703777.0	67259161.0	76057026.0	84384204.0	78882064.0	61148785.0	53749396.0
k__Bacteria|p__Bacteroidetes	33897963.0	46389419.0	39207459.0	49916347.0	37934782.0	38316045.0	13636655.0	35392296.0	40287619.0	2071752.0	33051485.0	64373864.0	36616943.0	55362037.0	52917419.0	59877213.0	48051541.0	60040304.0	34283862.0	40460751.0	53273646.0	38861613.0	37799199.0	42908445.0	47528801.0	39959687.0	46141247.0	47324508.0	21991379.0	70812048.0	42679410.0	19776906.0	65723000.0	71844091.0	24040112.0	42909638.0	25718645.0	66365209.0	32050505.0	49583691.0	49628206.0	45083958.0	28359927.0	39898909.0	69211768.0	66560466.0	52449549.0	47735700.0	65856620.0	72612756.0	78298730.0	76205024.0	59548391.0	57606880.0	32807538.0	33387111.0	26746705.0	41090889.0	75654775.0	8159917.0	70068542.0	59127924.0	51639617.0	19256873.0	15323999.0	62405186.0	66273608.0	76035132.0	41995867.0	41849034.0	47057972.0	72061611.0	60161335.0	46691636.0	48053540.0	63219638.0	67527168.0	49069692.0	25430312.0	39312519.0	71385742.0	44661873.0	54789453.0	2759656.0	8978071.0	24898093.0	78930849.0	61677253.0	51889900.0	55411320.0	50800521.0	50652978.0	47738554.0	43593003.0	39586946.0	36620143.0	46212806.0	41307188.0	48127579.0	44686428.0	55566389.0	57844970.0	51228865.0	46966217.0	43549238.0	56500595.0	62727473.0	24614160.0	19847644.0	41755479.0	18610079.0	69739707.0	43085503.0	65637435.0	58719377.0	26789536.0	26778603.0	42072119.0	31017048.0	39544818.0	31120915.0	24466001.0	33300764.0	28726448.0	67809217.0	60991803.0	43872655.0	52575698.0	33967983.0	41931741.0	73722141.0	38937175.0	29976991.0	43557153.0	42170087.0	15717972.0	63700479.0	36097056.0	60530416.0	69522471.0	47455036.0	61316429.0	42846263.0	49352988.0	54529762.0	52205709.0	61184950.0	48091360.0	53845163.0	51413499.0	29295251.0	24416299.0	63248770.0	44013158.0	73818708.0	61302240.0	55316145.0	96852093.0	81536643.0	68155249.0	69502208.0	80858718.0	40154561.0	51010514.0	41339096.0	56440790.0	67479230.0	68517753.0	67397038.0	47634395.0	31936734.0
k__Bacteria|p__Firmicutes	17430112.0	1186849.0	12641757.0	2330571.0	19271903.0	14195178.0	21301098.0	12746923.0	6349586.0	553860.0	28549821.0	9578818.0	34176246.0	15114776.0	6474978.0	9677914.0	19070493.0	4993910.0	26022454.0	28330489.0	27625551.0	25947351.0	24417766.0	21791187.0	14169584.0	32926104.0	8407338.0	28141499.0	42056841.0	4267271.0	24947934.0	46062083.0	16030751.0	12368580.0	26408420.0	22288287.0	34798910.0	10569933.0	27837572.0	24881540.0	10803725.0	9594027.0	23079895.0	19413006.0	6160057.0	4665055.0	3309219.0	10007186.0	26610017.0	17747106.0	10391682.0	15646428.0	16733061.0	23591861.0	36083649.0	23643348.0	28855233.0	2847717.0	10379257.0	57828824.0	6831328.0	3185438.0	6329589.0	50115240.0	46454192.0	9547392.0	10792662.0	11369798.0	18677104.0	34048849.0	13415283.0	4092691.0	9219853.0	24136032.0	20056403.0	9549693.0	8899176.0	13408128.0	39669487.0	14892137.0	4195619.0	17548500.0	10841573.0	20564239.0	44469567.0	12483014.0	1080340.0	5514051.0	19659276.0	4228349.0	20775702.0	10671853.0	6498767.0	12818178.0	8543311.0	12419712.0	15207830.0	19305688.0	17960020.0	11450714.0	7310702.0	7202432.0	23046032.0	11685985.0	4119893.0	4600960.0	19081007.0	50834851.0	51837680.0	17621871.0	34491941.0	1647390.0	21729843.0	2323125.0	6142907.0	29182737.0	33094872.0	8450444.0	6412298.0	3703216.0	13089088.0	11436631.0	10210856.0	10129372.0	4692676.0	3524314.0	16420743.0	16630949.0	10814151.0	44297009.0	10983808.0	4976571.0	16685697.0	7880412.0	11518770.0	22677772.0	11422970.0	17622330.0	10221125.0	3729019.0	15188391.0	15145068.0	10433652.0	15038632.0	34835880.0	33012427.0	6536366.0	1798603.0	6685476.0	3481839.0	2279085.0	10888223.0	15877551.0	10281111.0	7793660.0	9820198.0	10892678.0	8064032.0	5943273.0	5856026.0	20266117.0	5928344.0	14832338.0	6835368.0	25314983.0	7948970.0	7234829.0	12394020.0	6367626.0	8208873.0	18262886.0
k__Bacteria|p__Candidatus_Melainabacteria	1305775.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52184.0	0.0	0.0	0.0	0.0	17.0	0.0	493654.0	6103.0	2795.0	182016.0	1502416.0	3878.0	1240181.0	3464.0	3854.0	3681.0	4197.0	3778.0	0.0	0.0	0.0	0.0	0.0	12245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6123.0	1687133.0	4359.0	6073.0	7482.0	5555.0	6436.0	7265.0	3144.0	7253.0	4786.0	2633.0	4875.0	5236.0	1925372.0	3422.0	3188.0	2453.0	1964.0	2157.0	776251.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	605.0	794.0	1040.0	994.0	878.0	466.0	646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7496.0	5485.0	6232.0	5413.0	6216.0	5030.0	4427457.0	4303.0	4202.0	3296.0	5403.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1382.0	1411.0	1267753.0	594.0	289.0	1152.0	1674.0	0.0	0.0	0.0	0.0	381.0	748.0	542.0	762.0	545.0	524.0	688.0	0.0	624.0	92978.0	1227.0	0.0	0.0	0.0	0.0	0.0	0.0	1548101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31815.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	2050064.0	146776.0	685236.0	158460.0	1540153.0	3146510.0	2657902.0	669421.0	244318.0	9886.0	1563757.0	556741.0	4211863.0	966833.0	1441706.0	2306727.0	467795.0	1954812.0	2547919.0	2185235.0	1188863.0	691694.0	2640992.0	1008844.0	1407507.0	1940569.0	641783.0	1185515.0	573152.0	766023.0	337785.0	1045730.0	1094251.0	570270.0	3590869.0	2085158.0	1832087.0	975325.0	1093218.0	2047810.0	1744206.0	1312711.0	1277386.0	1723955.0	892053.0	2703120.0	524544.0	6595456.0	3288214.0	643958.0	2051325.0	1634171.0	3647737.0	1461750.0	877528.0	2127584.0	6882317.0	23819478.0	5743470.0	392773.0	6217266.0	905222.0	3660950.0	995262.0	1800121.0	572195.0	663311.0	466483.0	1137179.0	953534.0	669373.0	2455622.0	1057915.0	1888301.0	1616425.0	3149463.0	475130.0	956019.0	2075887.0	3341136.0	289849.0	940636.0	452501.0	16802151.0	8289817.0	280172.0	1146661.0	1167810.0	3632969.0	1047152.0	376907.0	3063849.0	1232610.0	736268.0	1042266.0	720852.0	1312611.0	1284621.0	3145900.0	997160.0	1815763.0	1517417.0	1648500.0	1939593.0	4146638.0	921884.0	1671698.0	7303274.0	11136504.0	123460.0	7515538.0	186997.0	1353239.0	8075322.0	421330.0	1517226.0	1525019.0	776800.0	1198374.0	546553.0	1376032.0	2550108.0	1687884.0	2976626.0	474144.0	3713275.0	1635809.0	1466680.0	776167.0	535496.0	8812114.0	2514523.0	1677543.0	831407.0	778324.0	4683725.0	4815864.0	4588695.0	996529.0	472909.0	2356020.0	1914818.0	516292.0	952697.0	5953244.0	7295822.0	1059378.0	792261.0	547432.0	763541.0	191264.0	1007538.0	2055744.0	1152364.0	2003926.0	2204122.0	1735384.0	2887826.0	2364485.0	5439421.0	1984737.0	1476132.0	2294263.0	792078.0	2575712.0	2352246.0	1334652.0	1197989.0	4701450.0	3807054.0	3517502.0
k__Bacteria|p__Actinobacteria	499243.0	42418.0	122663.0	155902.0	823945.0	245698.0	11638943.0	548737.0	22276.0	9658.0	1719307.0	212000.0	1471088.0	383522.0	188867.0	789209.0	1640934.0	141375.0	2204626.0	284161.0	11567266.0	131909.0	545242.0	77003.0	842192.0	1274947.0	950969.0	645834.0	1676358.0	408891.0	1192374.0	3100845.0	200716.0	372279.0	1290269.0	501975.0	696326.0	490942.0	1200071.0	715172.0	96685.0	149434.0	206379.0	346344.0	131683.0	1328844.0	139260.0	161398.0	3413210.0	125649.0	308989.0	227294.0	37849.0	406394.0	1168843.0	1180725.0	295240.0	102850.0	581562.0	3681852.0	897233.0	1667456.0	285021.0	4807984.0	2168438.0	161630.0	220182.0	345222.0	197420.0	3649833.0	276049.0	195056.0	18056.0	4511729.0	376883.0	476420.0	187096.0	1187843.0	3029839.0	5254337.0	231243.0	1399762.0	2124612.0	12404724.0	4800411.0	2865563.0	146960.0	565300.0	3027182.0	157868.0	3625324.0	189794.0	594302.0	329602.0	356104.0	5071587.0	713706.0	956296.0	1718055.0	207280.0	915714.0	2704092.0	1678153.0	125573.0	173461.0	182116.0	1296136.0	1408484.0	3310922.0	6793827.0	2567953.0	142850.0	257467.0	25172.0	460791.0	1826040.0	4981601.0	126208.0	224784.0	8034.0	279949.0	1640989.0	564956.0	424975.0	49507.0	78271.0	219938.0	561758.0	871607.0	480950.0	729467.0	69723.0	631568.0	420212.0	649170.0	589151.0	19141.0	245860.0	151525.0	7475.0	247006.0	739865.0	277906.0	559381.0	463822.0	956852.0	129473.0	838744.0	152774.0	569643.0	98648.0	1119070.0	47991.0	716249.0	319931.0	143162.0	949370.0	436883.0	119842.0	890075.0	981596.0	637731.0	256420.0	78597.0	4472361.0	516776.0	2815.0	352808.0	407943.0	1496547.0	29167.0
k__Bacteria|p__Synergistetes	12198.0	0.0	0.0	0.0	642.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5957.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6430.0	0.0	0.0	0.0	0.0	3355.0	0.0	0.0	0.0	0.0	1049.0	0.0	0.0	19974.0	222.0	5313.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1585.0	0.0	1240.0	0.0	0.0	0.0	0.0	664.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1031.0	0.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0	0.0	0.0	1451.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1188.0	0.0	7870.0	498.0	0.0	3954.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1733.0	0.0	0.0	19819.0	0.0	0.0	19977.0	1233.0	0.0	638.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9662.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24618.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia	6182.0	0.0	0.0	0.0	0.0	13177.0	0.0	85219.0	5678.0	0.0	110697.0	0.0	371075.0	0.0	0.0	0.0	0.0	5550.0	0.0	49321.0	148000.0	27625.0	22277.0	65475.0	0.0	0.0	0.0	0.0	7244.0	0.0	0.0	10883.0	0.0	468873.0	0.0	158275.0	0.0	398792.0	4819.0	0.0	38316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43402.0	0.0	262828.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91553.0	0.0	0.0	0.0	81747.0	30606.0	29788.0	31708.0	570825.0	29064.0	36486.0	29488.0	36000.0	14187958.0	31060.0	16987.0	0.0	12582.0	129746.0	0.0	444516.0	0.0	0.0	0.0	6962.0	0.0	0.0	0.0	72320.0	0.0	0.0	0.0	36487.0	0.0	0.0	0.0	14154879.0	430256.0	18173.0	17028.0	12934.0	15889.0	186591.0	15272.0	12639.0	10365.0	15037.0	663.0	0.0	0.0	0.0	0.0	169045.0	781.0	240736.0	0.0	237864.0	13425.0	21933.0	0.0	19863.0	116797.0	0.0	149985.0	0.0	744.0	0.0	0.0	0.0	0.0	0.0	8809.0	0.0	0.0	527958.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5697.0	543363.0	0.0	0.0	0.0	0.0	1732.0	0.0	0.0	0.0	345048.0	0.0	0.0	232.0	5500.0	1896031.0	5139.0	0.0	1347.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	33889490.0	46389419.0	39207459.0	49916347.0	37934782.0	38316045.0	13636655.0	35392296.0	40287619.0	2071752.0	33051286.0	64373350.0	36584069.0	55362015.0	52917182.0	59876579.0	48051192.0	60039785.0	34283348.0	39479928.0	53273646.0	38861613.0	37799199.0	42907619.0	47528801.0	39959687.0	46141247.0	47324508.0	21991379.0	70812048.0	42679410.0	19776906.0	65723000.0	71844091.0	24040112.0	42908904.0	25718645.0	66365209.0	32050505.0	49583216.0	49628206.0	45083958.0	28359927.0	39898909.0	69211768.0	66560466.0	52449549.0	47735700.0	65815237.0	72612756.0	78298730.0	76205024.0	59548391.0	57606880.0	32734228.0	33387111.0	26746705.0	41090889.0	75654775.0	8159917.0	70068542.0	59127924.0	51615172.0	19256873.0	15323999.0	62405186.0	66273608.0	76035132.0	41995867.0	41849034.0	47057972.0	72061611.0	60161335.0	46691636.0	48053540.0	63219638.0	67527168.0	49069692.0	25430312.0	39312519.0	71385742.0	44661873.0	54789453.0	2759656.0	8978071.0	24898093.0	78930849.0	61677253.0	51853808.0	55411320.0	50800521.0	50652978.0	47738554.0	43591245.0	39586548.0	36620143.0	46212806.0	41307188.0	48127524.0	44686428.0	55566389.0	57844970.0	51228865.0	46966217.0	43549238.0	56500595.0	62727473.0	24614160.0	19847644.0	41755479.0	18610079.0	69739707.0	43085503.0	65637435.0	58719377.0	26789536.0	26778603.0	42072119.0	31017048.0	39544633.0	31120915.0	24462739.0	33300764.0	28726038.0	67809217.0	60991803.0	43872655.0	52575698.0	33967983.0	41931741.0	73722141.0	38937175.0	29976991.0	43541752.0	42170087.0	15717972.0	63700479.0	36097056.0	60530416.0	69522471.0	47455036.0	61313974.0	42846263.0	49352988.0	54269171.0	52205709.0	61184950.0	48091360.0	53845163.0	51413429.0	29295251.0	24416299.0	63242366.0	44013158.0	73818708.0	61302240.0	55316145.0	96852093.0	81536643.0	68155249.0	69502208.0	80858718.0	40154561.0	51010514.0	41339096.0	56440790.0	67479230.0	68517753.0	67397038.0	47630780.0	31936734.0
